2018-05-20 20:15:19.072 | I | -[AppDelegate applicationWillEnterForeground:] | [line:227] | [MESSAGE] application will enter foreground
2018-05-20 20:15:19.073 | I | -[AppDelegate logMataData] | [line:164] | [MESSAGE] trial ID client100prod_1525443315
2018-05-20 20:15:19.073 | I | -[AppDelegate logMataData] | [line:165] | [MESSAGE] trial name 100prod
2018-05-20 20:15:19.073 | I | -[UIDeviceHardware platformString] | [line:30] | [MESSAGE] apple device internal version code iPhone10,6
2018-05-20 20:15:19.073 | I | -[AppDelegate logMataData] | [line:166] | [MESSAGE] Device Hardware iPhone X
2018-05-20 20:15:19.073 | I | -[AppDelegate logMataData] | [line:167] | [MESSAGE] OS Version 11.3.1
2018-05-20 20:15:19.073 | I | -[AppDelegate logMataData] | [line:168] | [MESSAGE] AiView build version 2018.3
2018-05-20 20:15:19.073 | I | -[AppDelegate logMataData] | [line:169] | [MESSAGE] device language en-US
2018-05-20 20:15:19.074 | I | -[AppDelegate logMataData] | [line:170] | [MESSAGE] device UUID CE41411A-EF46-4F7C-AA85-EE3C7C4C4986
2018-05-20 20:15:19.074 | I | -[AppDelegate logMataData] | [line:173] | [MESSAGE] Patient ID 000000leil
2018-05-20 20:15:19.075 | I | +[AIUtil hasInternetConnection] | [line:683] | [MESSAGE] has internet connnection = 1
2018-05-20 20:15:19.633 | D | -[AiViewSwitch startApp] | [line:156] | [MESSAGE] StartApp in AiViewSwitch
2018-05-20 20:15:19.634 | I | +[AIUtil checkPermission] | [line:1132] | [MESSAGE] camera access / mic access Authorized
2018-05-20 20:15:19.703 | I | -[AiView viewDidLoad] | [line:68] | [MESSAGE] AiView view did load
2018-05-20 20:15:20.055 | E | -[Transmission update:task_name:] | [line:239] | [MESSAGE] Task Dose_miss_time_report failed
2018-05-20 20:15:20.839 | I | -[MedProtocolController getNexMedFromUser:dateTime:loadData:context:] | [line:144] | [MESSAGE] currentDoseDone: 0
2018-05-20 20:15:20.839 | I | -[AiView defineProcess:currentTime:context:] | [line:157] | [MESSAGE] allMedsWithinDoseNotFinished 0
2018-05-20 20:15:20.871 | I | -[MedicationConfirmVC viewDidLoad] | [line:45] | [MESSAGE] MedicationConfirmVC view did load
2018-05-20 20:15:20.948 | I | -[AINeuralNetworkConfigManager fileDownloadedWithUrl:succeeded:] | [line:249] | [MESSAGE] Neural network config download succeeded.
2018-05-20 20:15:21.526 | I | -[FlexibleAudioPlayerController playAudioWithName:] | [line:80] | [MESSAGE] playAudioWithName conclusion_11
2018-05-20 20:15:21.526 | I | -[AudioPlayer playAudioName:] | [line:38] | [MESSAGE] play audio name conclusion_11
2018-05-20 20:15:26.464 | I | -[DigitalClockVC viewDidLoad] | [line:138] | [MESSAGE] DigitalClockVC view did load
2018-05-20 20:15:26.496 | I | -[Transmission sendAll] | [line:80] | [MESSAGE] Transmission send all
2018-05-20 20:15:26.497 | I | -[Transmission sendAll] | [line:115] | [MESSAGE] Encrypting files
2018-05-20 20:15:26.527 | I | -[DigitalClockVC constructNextActionSchedulesAndQuestionnairesIfPossible] | [line:806] | [MESSAGE] constructNextActionSchedulesAndQuestionnairesIfPossible
2018-05-20 20:15:26.552 | I | -[DigitalClockVC showScreenBasedOnStatus] | [line:358] | [MESSAGE] show screen based on status
2018-05-20 20:15:26.552 | I | -[DigitalClockVC displayReminderView] | [line:515] | [MESSAGE] displayReminderView
2018-05-20 20:15:26.553 | I | -[DigitalClockVC showDigitalClockNormal] | [line:580] | [MESSAGE] showDigitalClockNormal
2018-05-20 20:15:26.579 | I | -[DigitalClockVC displayReminderView] | [line:515] | [MESSAGE] displayReminderView
2018-05-20 20:15:26.579 | I | -[DigitalClockVC showDigitalClockNormal] | [line:580] | [MESSAGE] showDigitalClockNormal
2018-05-20 20:15:26.590 | I | -[DigitalClockVC startPKVisitQuestionIfNecessary] | [line:721] | [MESSAGE] startPKVisitQuestionIfNecessary
2018-05-20 20:15:26.642 | I | -[DigitalClockVC showScreenBasedOnStatus] | [line:358] | [MESSAGE] show screen based on status
2018-05-20 20:15:26.642 | I | -[DigitalClockVC displayReminderView] | [line:515] | [MESSAGE] displayReminderView
2018-05-20 20:15:26.642 | I | -[DigitalClockVC showDigitalClockNormal] | [line:580] | [MESSAGE] showDigitalClockNormal
2018-05-20 20:15:26.676 | I | -[DigitalClockVC displayReminderView] | [line:515] | [MESSAGE] displayReminderView
2018-05-20 20:15:26.676 | I | -[DigitalClockVC showDigitalClockNormal] | [line:580] | [MESSAGE] showDigitalClockNormal
2018-05-20 20:15:26.684 | I | -[DigitalClockVC startPKVisitQuestionIfNecessary] | [line:721] | [MESSAGE] startPKVisitQuestionIfNecessary
2018-05-20 20:15:26.709 | I | -[Transmission update:task_name:] | [line:246] | [MESSAGE] Task id done: 1
2018-05-20 20:15:26.831 | I | -[Transmission update:task_name:] | [line:246] | [MESSAGE] Task id done: 2
2018-05-20 20:15:26.941 | I | -[Transmission update:task_name:] | [line:246] | [MESSAGE] Task id done: 3
2018-05-20 20:15:27.070 | I | -[Transmission update:task_name:] | [line:246] | [MESSAGE] Task id done: 4
2018-05-20 20:15:27.203 | I | -[Transmission update:task_name:] | [line:246] | [MESSAGE] Task id done: 5
2018-05-20 20:15:27.335 | I | -[Transmission update:task_name:] | [line:246] | [MESSAGE] Task id done: 6
2018-05-20 20:15:27.338 | I | -[DigitalClockVC showQuestionnaire] | [line:788] | [MESSAGE] showQuestionnaire
2018-05-20 20:15:27.533 | E | -[Transmission update:task_name:] | [line:239] | [MESSAGE] Task Dose_miss_time_report failed
